Years,"1,2,3-Trichlorobenzene","1,2,4-Trichlorobenzene",Acenaphthene,Acenaphthylene,AGOC-3A,Alachlor,Aldrin,alpha-Hexachlorocyclohexane,Aluminium,Ammonium,Anionic active surfactants,Anthracene,AOX,Arsenic,Atrazine,Barium,Benzo(a)anthracene,Benzo(a)pyrene,Benzo(b)fluoranthene,"Benzo(g,h,i)perylene",Benzo(k)fluoranthene,Berilium,beta-Hexaxchlorocyclohexane,Bicarbonates,Biochemical Oxygen,Boron,Cadmium,Calcium,Carbonates,Cesium,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),Chlorides,Chlorodinine,Chromium,Chrysene,Copper,Cyanides,Dieldrin,Dissolved organic carbon,Dissolved oxygen,Dissolved silicates,Endosulfan (alpha),Endosulfan (beta),Endrin,Fecal coliforms,Fecal streptococci ,Fluoranthene,Fluorene,gamma-Hexachlorocyclohexane,Heptachlor,Heptachloroepoxide,Hexachlorobenzene,"Indeno(1,2,3-c,d)pyrene",Inorganic nitrogen,Iron,Isodrin,Lead,Macrozoobenthos,Magnesium,Manganese,Mercury,Methoxychlor,Methylosmoline,Metolachlor,Naphthalene,Nickel,Nitrates,Nitrites,Organic nitrogen,Orthophosphate-phosphorus,Oxygen saturation,"p,p-DDD","p,p-DDE","p,p-DDT",PAHs,PCB 101,PCB 118,PCB 138,PCB 153,PCB 180,PCB 28,PCB 52,Pentachlorobenzene,Petroleum hydrocarbons,Phenanthrene,Potassium,Pyrene,Selenium,Silica (SiO2),Simazine,Sodium,Sulfides,Sulphates,Tetrachloromethane,Total coliforms,Total dissolved phosphorus,Total dissolved salts,Total extractable matter,Total hardness,Total nitrogen,Total organic carbon,Total phosphorus,Trifluralin,Water temperature,Zinc
1998,,,,,,,,,,0.460166667,,,0,0,0,,,,,,,,,,4.024,,0.760243902,56.94016667,,0.008333333,9.041596639,5.01875,34.406,,12.41788618,,16.79512195,,,,7.66394958,,,,,0.003357,,,,0.002363636,,,,,,0.890833333,,14.8495935,0.7925,15.94533333,8.058398374,0,,,,,12.60833333,1.568833333,0.052083333,,0.074166667,,,,0.0035,,,,,,,,,,,,3.69825,,,,,21.36566667,,51.1045,,0.122704167,,,,,,,0.130166667,,13.76554622,50.32317073
1999,,,,,,,,,,0.548920455,0.065833333,,,,0.043333333,,,,,,,,,197.7195833,3.853693182,,2.724,61.03181818,,,19.98186207,6.645397727,40.05147727,,12.00870968,,25.98645161,,,,8.233756906,,,,,0.951822222,0.380676667,,,0.046256897,,,,,,1.011666667,,25.02879781,2.05884058,17.69943182,41.38417742,,,,,,30.4,1.640625,0.038579545,,0.060045455,,,,0.153011765,,,,,,,,,,,,4.250170455,,,,,24.26772727,,55.49840909,,3.201912381,,,5.777777778,,,,0.096704545,,12.87624309,52.91048387
2000,,,,,,,,,,0.655418994,0.086256983,,,,0.041791045,,,,,,,,,169.4022346,4.39273743,,1.651675393,60.22178771,,,20.90670391,6.388268156,42.37709497,,15.68005236,,25.9195288,,,,8.598333333,,,,,1.482583942,0.062314286,,,0.041460674,,,,,,1.067988827,,30.8786911,2.044636872,19.1698324,28.59235079,,,,,,,1.79575419,0.037039106,,0.062290503,,,,0.075465116,,,,,,,,,,,,4.189385475,,,,,24.15418994,,58.23631285,,12.28858537,,,0.102833333,,,,0.102513966,,12.90555556,54.43664921
2001,,,,,,,,,,0.419044586,0.102,,,,0.020571429,,,,,,,,,173.4023567,3.474076433,,3.729090909,60.81464968,,,17.15302013,4.950573248,37.11210191,,16.10189542,,23.07333333,,,,8.440191083,,,,,0.365816667,0.013556818,,,0.128607143,,,,,,1.083071895,,15.68540741,2.048119658,17.7266242,0.094052288,,,,,,4.911,1.781783439,0.029012739,,0.054184713,,,,0.216105263,,,,,,,,,,,,3.838496732,,,,,23.8875817,,58.73675159,,2.372257813,,,0.133555556,,,,0.088832117,,13.96369427,48.37908497
2002,,,,,,,,,,0.481375,0.08,,,,0,,,,,,,,,152.0395833,3.722374429,,0.914237288,53.227875,,,27.0045977,5.949210526,38.31475,,8.752457143,,23.86627119,,,,8.514788136,,,,,0.181925926,0.007173913,,,0.01942623,,,,,,1.39515625,,9.284528302,,21.46404167,8.739270833,,,,,,2.442830189,1.713781513,0.0316875,,0.05792094,,,,0.016274336,11.37142857,,,,,,,,,1.852857143,,5.669230769,,,,,32.21538462,,44.83530702,,2.178551724,,,,,,,0.089444444,,14.41958333,27.6
2003,,,,,,,,,,0.505991525,0.039735714,,,,0,,,0.001,0.001,0.001125,0.001,,,179.8919481,2.573413462,,1.75891,54.10114035,,,16.34447964,5.366334842,33.68620253,,4.412509709,,17.90714428,,,,8.833419913,,,,,12.26354386,0.835984733,0.001,,0.013282609,,,,0.01775,,1103.578212,,7.790819588,2.229891304,18.15541126,26.27151681,,,,,,5.473608247,1.771322034,0.048262712,,0.05235865,,,,0.022928571,,0.001,,0.001,0.001,0.001,0.002375,0.001125,,,,3.89047619,,,9.236458333,,20.16904762,,39.20675325,,49.16916031,,,1.692909091,,,,0.092335577,,13.77350427,24.52121951
2004,,,,,,,,,,0.404876652,0.026878571,,,0.802,0.059857143,,,,,,,,,175.68025,2.852511416,,1.154495726,48.16396985,,,24.11530233,4.925572139,32.02038835,,3.184918103,,10.48476211,,,,8.488193833,,,,,0.799336585,0.096059524,,,0.038842105,,,,,,0.680838397,,4.216206009,1.94409589,21.5104,0.204438182,,,,,,4.45481448,1.642590308,0.048856388,,0.052213274,,,,0.0181,,,,,,,,,,1.525857143,,3.243421053,,,9.235793991,,17.36233766,,37.17759162,,6.912545455,,,0,,,,0.106230769,,14.76559633,56.94042553
2005,,,,,,0.112121951,0.014021858,0.034943396,,0.439607143,0.042346212,,,,0.070284768,,,,,,,,0.09661435,189.377083,2.548452381,,2.286954315,51.69888885,40.93846308,,9.863103402,4.234380531,47.8945002,,2.743987743,,11.80153063,,0.070269036,,8.436785714,,0.041683616,0.011698864,0.13396347,0.448579545,0.076167347,,,0.092987013,0.006874396,0.002712329,,,,0.773421687,,7.399548088,2.014552083,21.78629628,0.084865815,0.031669421,0.049272727,,0.033940594,,3.817269222,1.591047619,0.048765873,,0.054984127,78.17849759,0.170728448,0.054789474,0.003866667,,,,,,,,,,0.765257576,,3.348958333,,,6.732815126,0.15736,23.0544793,,40.73796881,,7.392630189,,310.3333333,,126.7980477,2.09813253,,0.104668067,,13.63968255,50.67004049
2006,,,,,,0.221098592,0.102359788,0.014893491,,0.520617269,0.074569753,,,,0.146547945,,,,,,,,0.043215385,196.9342857,2.441814346,,1.058562189,55.72821596,,,19.76843885,4.329220779,37.73617284,,2.479115226,,8.933382716,,0.044233533,,8.684274194,,0.100839286,0.120480916,0.088227778,0.549566154,0.025903077,,,0.03661,0.008866667,0.01432,,,,0.351148148,,11.73351852,2.051897143,20.27920188,0.061718333,0.058809524,0.0494,,0.06772,,3.49157438,1.34137751,0.058259839,,0.072068273,80.96693548,0.055011173,0.023811321,0.054060773,,,,,,,,,,1.537485057,,2.630864198,,,7.335030043,0.163781915,16.74444444,,38.37333333,,3.846553846,,296.7028112,,124.1020513,2.570969388,,0.174077236,,12.97886179,36.76954733
2007,,,,,,0.081076923,0.025819005,0.008812785,,0.437395614,0.089085593,,,,0.073986425,,,,,,,,0.009090498,188.4309694,2.484581081,,1.635266376,54.08040816,11.73363636,,24.76577114,4.313571429,33.02262911,,3.713558952,,11.54197817,,0.017331818,,8.752368421,,0.015683258,0.032561086,0.013495455,1.368259036,0.478050602,,,0.009031818,0.00640553,0.005240909,,,,0.928052402,,4.599008734,1.955876289,22.19505155,0.102393258,0.038236181,,,0.015918552,,5.862960699,1.638052632,0.029751754,,0.059210965,81.22365639,0.016950226,0.006719457,0.021239819,,,,,,,,,,3.043438596,,2.277453416,,,8.198293269,0.077260465,22.98101266,,43.56218905,,3.952987952,,287.6327434,,125.9190674,2.607425926,,0.166730045,,13.03822222,46.29257642
2008,0.001714706,0.001,0.004059412,0.004,,,0.025537209,,41.025,0.450507725,0.074134483,0.008710824,19.75774648,0.511813953,0.5,24.12065789,0.003788235,0.007541765,0.008074118,,0.007536471,,,200.07985,2.422347826,,1.002582278,53.56108374,11.76909091,,23.92464912,3.759282297,31.22,,3.224177215,0.003,7.292405063,0.002434127,,4.97125,8.603648069,3.824,,,0.025,11.91960123,0.402408982,0.004837647,,0.040305344,,,0.02,,,0.805341772,0.025,2.667341772,1.888333333,19.17724138,0.036956522,0.059696203,,,,0.011461176,1.810759494,1.154787983,0.037291845,,0.044687124,83.37148472,,,0.018213676,,0.001249714,,0.002,0.002,0.002312,,,0.001,0.026091925,0.005,2.558955224,0.002265588,0.167702128,5.519995671,,23.82591241,0.1,40.72833333,0.25,19.01103067,,289.8927039,2.225,119.6636453,1.977965161,5.906415094,0.125648649,,14.99043478,10.6
2009,0.001,0.001,0.003,0.004,,0.025,0.004785714,,166.7391304,0.397053546,0.070202844,0.005605357,0,1.047075472,0.495588235,51.67857143,0.00275,0.005696429,0.0062,0.003714286,0.0057,,,184.2787156,2.536327273,,1.211454545,51.2683945,,,21.37767528,4.088719008,46.68234568,,5.74175,0.003,5.952894737,0.002086577,0.014461538,,9.165053381,7.380740741,,,0.0170625,14.59257558,2.029959302,0.004607143,0.005,0.010854167,,,0.001981818,0.003428571,,0.596583333,0.004111111,3.733209091,2.11,18.98179724,0.02676761,0.089393939,,,,0.010453571,1.595545455,1.354628369,0.03517234,1.0935,0.066464057,88.97169291,,,0.018027972,,0.001218182,0.002,0.002034545,0.002,0.002,,,0.001666667,0.216035263,0.004928571,2.70591133,0.003,1.389285714,6.208543933,0.096153846,23.46041475,0.018439024,35.82495726,0.308744828,219.3269973,,293.9239286,,115.1467568,2.003938596,5.421087302,0.134713167,0.1,14.36798561,14.87226891
2010,,,,,,,,,73.81818182,0.407188925,0.077113072,,21.38837209,1.174666667,0.5,,,,,,,,,215.4912727,2.280693878,,0.543450515,54.08920398,,,23.44868778,3.920980392,43.69009009,,5.541351961,,5.99773399,0.348170886,,,9.447016129,8.424844828,,,,30.93240816,4.219285714,,,0.040658385,,,,,2.802274194,0.466965625,,2.236580102,2.072727273,16.7539801,0.039469091,0.160884146,,,,,2.487870854,1.650652876,0.04215798,0.66,0.084239088,88.79458716,,,0.022148148,,,,,,,,,,0.253061224,,2.633717949,,,6.235293578,,19.85769231,,34.88695431,0.025018634,375.4710204,,300.6740586,1.381818182,105.7254545,2.263062802,,0.157043974,,13.94751724,20.73663069
2011,,,,,,,,,,0.281986405,0.002283019,,,1.375612903,,,,,,,,,,188.3703097,2.159414063,,0.402289055,47.63113772,,,20.19798419,3.453209877,34.97290749,,3.62755049,,7.418665686,0,,,9.18115942,5.825555556,,,,46.58716279,15.013275,,,,,,,,,0.38061157,,3.270893532,2.164166667,24.85489796,0.022452381,0.127677596,,,,,3.067633333,1.614319335,0.030376133,0,0.060462538,89.0453125,,,,,,,,,,,,,0,,2.76125,,,,,19.44610526,,41.22144578,,185.63,,303.562249,,3.897142857,2.04543956,,0.120984894,,15.04085366,27.81214038
2012,,,,,,,,0.01,,0.290007333,0.009615385,,,0.78125,0,28,,,,,,0,,199.7101818,2.443578947,35.53846154,0.293920652,53.59858421,,,21.58179039,4.265319048,33.23963918,,5.05421087,,5.781446237,1.2456,,,9.164659498,,,,,1.3911,0.2858,,,0,,,,,,0.255114754,,1.674782609,2.201666667,16.91827895,0.029554487,0.077486842,,,,,2.149021739,1.578836667,0.029599,0.252916667,0.045707,83.86775194,,,0.001071875,,,,,,,,,,6.775,,3.346846847,,,9.277777778,,20.48558559,0.017571429,40.00744944,,115.2532,,328.9882075,,5.0264,2.253548718,,0.10659,,13.53187919,30.52862366
2013,,,,,,,,,,0.27649322,0.050814371,,25.875,0.457142857,0,,,,,,,,,205.0033333,2.223464286,,0.094095946,56.21923645,,,25.58046119,4.243076923,46.41242647,,1.14708,,3.994849333,,,,9.348621908,3.835726141,,,,0.896355556,0.4238,,,0,,,,,1.28,0.676096667,,1.466716216,2.149137931,18.46130882,0.077217391,0.027661765,,,,,1.557934667,1.441326397,0.030575878,1.5525,0.056520608,90.04362069,,,0.025694444,,,,,,,,,,,,3.128440367,,,,,22.11666667,,43.71760811,,118.0530889,,367.8967136,,,2.262888112,3.394240741,0.100680405,,13.69230769,51.87167105
2014,,,,,0.44027381,,,,0,0.539803988,0.08637377,,,1.374834862,0.010912169,,,,,,,,,178.9840898,2.216081169,,0.033458716,51.91618026,,,19.50543277,4.150458515,48.28759149,0.247011905,1.145770642,,8.73246789,,,3.751666667,9.251254019,2.46442328,,,,,,,,0,,,,,,0.388234375,,1.887972477,36.63833333,15.14369099,0.164980645,0.019801835,,0.301720238,,,2.475886792,1.356618129,0.038784233,,0.068441692,88.61594059,,,0,,,,,,,,,,0.093318182,,3.034298013,,,1.84,,28.68225166,,44.45669079,,,,329.7747863,25,189.095,2.694408392,3.568014286,0.118579385,,15.11742671,40.34710811
2015,,,,,2.923903448,,,,,0.255019512,0.07075,,,2.690974359,0,,,,,,,,,187.8563669,2.170977564,,0.030617284,53.65078605,140.3,,21.63738605,4.183064039,40.98581818,0.24942069,1.588415584,,9.420320513,,,,9.454259928,2.202777778,,,,,,,,0,,,,,0.15,0.477331068,,1.555432099,,14.3133907,0.027973303,0.013951807,,1.636758621,,,2.13625,1.40708,0.025811585,0,0.051170336,89.75368421,,,0,,,,,,,,,,0.0482625,,2.865,,,,,22.08710185,,45.36738655,,,0.068101818,327.6522613,,192.6166597,2.109773885,3.929101449,0.094749846,,14.14345048,53.60238095
2016,,,,,0.252465839,,,,,0.170442593,0.073836879,,17.9,2.217763158,0,,,,,,,,,185.2079653,2.228896104,,0.17525,54.36511374,,,24.05832093,4.265556701,37.51221127,0.030478261,1.917847222,,8.789583333,,,,9.175809859,2.083333333,,,,,,,,0,,,,,,,,2.613158519,2.36,13.87796209,,0.011545455,,14.07158385,,,2.725946667,1.166353395,0.023332716,,0.048921296,87.01534722,,,0,,,,,,,,,,0.096459286,,3.134647887,,,,,22.1943662,,42.95821379,,,0.073941463,317.7857075,,193.8562488,1.849220126,3.9955,0.10223323,,14.40631741,2.208333333
